Texas,Sullivan City,22431,0,0
Idaho,Clayton,39033,0,0
New York,Jersey City,78638,0,0
Ohio,Arcanum,80879,45107,34.19889685
Kansas,Miltonvale,122050,17668,10.86570133
Nebraska,Petersburg,128671,0,0
New Jersey,Harrison,132931,68281,178.8594023
New York,South Richmond Hill,135751,57883,246.5888456
North Dakota,Glenburn,191611,63878,23.93127948
Kansas,Hanover,213014,43071,8.599903996
Kansas,Argonia,214290,51200,13.39964265
Iowa,Bernard,240330,62414,34.1315697
New York,Roosevelt Island,246683,108382,375.4736557
Vermont,East Montpelier,249254,54118,26.99839989
Pennsylvania,Duncansville,254035,43819,92.69741944
Ohio,Rio Grande,259658,60223,26.33273866
Indiana,Ramsey,263785,43586,51.26563463
Indiana,Stinesville,268105,38444,62.32979236
Kansas,Rossville,275784,46613,18.99925108
Missouri,Hume,287084,37597,7
South Dakota,Corsica,301372,13534,13.33186667
Pennsylvania,Turbotville,302973,54304,99.89747918
Pennsylvania,Reedsville,307395,47855,37.19980799
Idaho,Murtaugh,307866,53451,29.29889529
Missouri,Weston,311897,67121,8.86640443
Pennsylvania,Cornwall,319198,64441,60.82814083
New Jersey,E Newark,320167,62746,466.913453
Oklahoma,Hanna,322253,31908,36.13152889
Maryland,Mt Rainier,323153,44499,797.4086849
Kansas,Caney,338484,47717,39.63045079
West Virginia,Volga,340387,55987,21.46615642
Iowa,Victor,346751,71185,22.09885992
Ohio,Hopewell,348368,46931,45.96449082
Nebraska,Table Rock,349530,44540,21.43208286
North Dakota,Wimbledon,356465,63411,7.999839994
Oklahoma,Deer Creek,356571,54361,37.03183792
Nebraska,Orchard,366563,52446,24.59879062
Mississippi,Bentonia,373045,28333,6
Nebraska,Hooper,374301,47647,22.89935261
New York,Saint Albans,383166,77902,542.5711903
New York,Woodhaven,391203,87494.5,620.0316245
Illinois,Pocahontas,392810,38008,30.19885684
Kansas,Clyde,396983,41911,20.59845509
Nebraska,Paxton,406065,50361,5.599903996
Nebraska,Lewiston,411156,19874,22.99869999
Minnesota,Revillo,411481,45425,13.63269974
Colorado,Bethune,419628,43753,74.16420766
Colorado,Ovid,419663,40647,86.4956872
South Dakota,Ethan,422679,53000,37.79812527
New Jersey,Guttenberg,436003,56683,1280.576861
Pennsylvania,Defiance,437717,49891,42.12951186
Pennsylvania,Darlington,438839,41729,39.19904126
Oklahoma,Copan,439396,54937,42.7650628
Iowa,West Bend,441302,39399,19.33312888
Kansas,Chapman,443196,63218,4.899885992
North Dakota,Inkster,444219,56726,68.46297009
Missouri,Lilbourn,446647,20536,12.9996
Oklahoma,Weleetka,447168,20639,12.36605133
Washington,Curlew,456980,86360,4.199541308
Nebraska,North Bend,459186,45844,52.83276508
Pennsylvania,Homer City,468110,41001,150.1227315
Kentucky,Newport,482474,65281,199.7279606
Kansas,Westphalia,485857,42724,49.99782436
Minnesota,Goodridge,486951,47780,41.03159792
California,Hollywood,490199,42480,634.1463531
Oklahoma,Ringwood,491669,57048,47.79672833
Florida,N Green Acres,499352,44551,281.3604753
South Dakota,Bonesteel,510183,52682,5.666377752
Pennsylvania,Shanksville,510866,79969,40.83054539
Missouri,Matthews,521889,45309,49.69676458
South Dakota,Tabor,522517,54965,50.33155636
North Dakota,Selfridge,523067,42318,29.59838841
Pennsylvania,Parkside,533018,67383,253.4868579
New Jersey,Palisades Park,533256,87153,139.5866071
New Jersey,Wallington,535132,64150,127.693031
Oklahoma,Sasakwa,538225,46087,28.39888709
Montana,Opheim,540136,42600,31.46618975
Missouri,Bois D'arc,546039,23573,39.69891797
